,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4860734462738037,0.0611695271691644,0.008610343933105469,0.0017263467068639067,0.01,"(50, 50)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.1527777777777778,0.2111111111111111,0.14206128133704735,0.19498607242339833,0.1671309192200557,0.17361343237387808,0.025824605970490813,76
1,0.6505855083465576,0.13728427604490376,0.008859348297119141,0.00034143030277973996,0.01,"(50, 50)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.4583333333333333,0.10277777777777777,0.3816155988857939,0.4178272980501393,0.6406685236768802,0.4002445063447849,0.17339011811094437,71
2,0.9306735515594482,0.10074008126042433,0.00896139144897461,0.0005841829388481,0.01,"(50, 50)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.7472222222222222,0.7138888888888889,0.7325905292479109,0.7047353760445683,0.6740947075208914,0.7145063447848964,0.025005278932465288,54
3,1.0056490898132324,0.43721477412033843,0.008816909790039063,0.0005131470931634794,0.01,"(50, 50)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.7666666666666667,0.7388888888888889,0.7437325905292479,0.479108635097493,0.28969359331476324,0.6036180748994119,0.18897951985483624,62
4,0.9552104949951172,0.42775931373713694,0.009795570373535156,0.005469903263615218,0.01,"(50, 50)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.5527777777777778,0.35555555555555557,0.7576601671309192,0.883008356545961,0.8217270194986073,0.6741457753017641,0.19422068585307303,59
5,0.9666042327880859,0.09784912857417799,0.008698368072509765,0.00014715604164523315,0.01,"(50, 50)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",0.8555555555555555,0.7666666666666667,0.8495821727019499,0.8440111420612814,0.7910863509749304,0.8213803775920768,0.03574004406439653,19
6,0.9853718757629395,0.0723117814631468,0.008177852630615235,0.0012113234144071486,0.01,"(50, 50)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 30}",0.8611111111111112,0.7722222222222223,0.9080779944289693,0.8802228412256268,0.8133704735376045,0.8470009285051068,0.048489304252619665,6
7,0.7966030597686767,0.08275291731517835,0.008287000656127929,0.0008380642707358681,0.01,"(50, 50)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 35}",0.8527777777777777,0.8,0.8495821727019499,0.9164345403899722,0.7883008356545961,0.8414190653048591,0.045519366132604176,12
8,0.8881044864654541,0.08124052191460639,0.009332799911499023,0.0013551269805237428,0.01,"(50, 50)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 40}",0.8638888888888889,0.8194444444444444,0.8356545961002786,0.8969359331476323,0.7632311977715878,0.8358310120705663,0.044856080053417145,14
9,0.9255824565887452,0.03196387197494417,0.008170509338378906,0.0011753576861656798,0.01,"(50, 50)",45,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 45}",0.8638888888888889,0.8138888888888889,0.8189415041782729,0.8885793871866295,0.83008356545961,0.8430764469204581,0.028659725355371056,8
10,0.8807918548583984,0.20500216250540115,0.008773279190063477,0.00013248063830845384,0.01,"(50, 50)",50,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 50}",0.9,0.5138888888888888,0.7994428969359332,0.9025069637883009,0.8467966573816156,0.7925270813989477,0.14441486105671894,32
11,0.9241257667541504,0.09193706879547468,0.008702421188354492,0.00010352403759370179,0.01,"(50, 50)",55,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 55}",0.8583333333333333,0.7611111111111111,0.883008356545961,0.8941504178272981,0.8105849582172702,0.8414376354069948,0.049389199406656835,11
12,0.8901589393615723,0.06674668079355964,0.010317087173461914,0.004557725470765736,0.01,"(50, 50)",60,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 60}",0.85,0.7972222222222223,0.8690807799442897,0.9052924791086351,0.8384401114206128,0.852007118539152,0.03555366826711008,4
13,0.4220150947570801,0.02884413620195752,0.00602264404296875,0.0004602840054163381,0.01,"(50,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 2}",0.15833333333333333,0.09444444444444444,0.10306406685236769,0.10306406685236769,0.10306406685236769,0.11239399566697617,0.02321099674452115,77
14,0.6070672035217285,0.07688193416671997,0.007168960571289062,0.002509657299808844,0.01,"(50,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 5}",0.49722222222222223,0.3611111111111111,0.4401114206128134,0.5264623955431755,0.479108635097493,0.46080315691736307,0.057165070478985766,65
15,0.4963391304016113,0.10389658236930073,0.006335306167602539,0.001280048345854214,0.01,"(50,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'filter__n': 10}",0.42777777777777776,0.5722222222222222,0.2757660167130919,0.19220055710306408,0.7019498607242339,0.433983286908078,0.18678661048535644,70
