,0
1,13.304990794374538
2,5.701374603726126
3,2.8229101550062214
4,1.984127517730199
5,1.651633242330121
6,1.2094822398029694
7,0.6764088817009043
8,0.4774562546895088
9,0.4176287821078168
10,0.35131087488173324
11,0.29443315349116483
12,0.2616211613661204
13,0.24178242132831265
14,0.15728614921759299
15,0.09430069560105553
16,0.08000340447737668
17,0.05950361353043182
18,0.05271142221014781
19,0.04956470021298151
20,0.03121426055306632
21,0.030025663090428315
22,0.027487711338904326
23,0.024383691354591057
24,0.01808679398430532
25,0.015508527134418559
26,0.008192037117607279
27,0.0069126125791845305
28,0.0015921360011976575
29,0.0007501214127186293
30,0.00013327905666400127
